model,year,mileage,description,price,price_status,source_url,scrape_date
آئودی، A3L,2025,صفر کیلومتر,1.5 لیتر توربو,8500000000,fixed,https://bama.ir/car/detail-tskbcc9u-audi-a3-1.5literturbopro-2025,2025-11-10
آئودی، Q5 e-tron,2024,"3,700 km",40,توافقی,negotiable,https://bama.ir/car/detail-k5bhsi0x-audi-q5etron-40-2024,2025-11-10
آئودی، Q5 e-tron,2023,صفر کیلومتر,40,توافقی,negotiable,https://bama.ir/car/detail-2cmapmjb-audi-q5etron-40-2023,2025-11-10
آئودی، Q5 e-tron,2023,"3,000 km",40,توافقی,negotiable,https://bama.ir/car/detail-yekdkar3-audi-q5etron-40-2023,2025-11-10
آئودی، Q5 e-tron,2024,700 km,40,7750000000,fixed,https://bama.ir/car/detail-lqtkhuqp-audi-q5etron-40-2024,2025-11-10
آئودی، Q5 e-tron,2024,صفر کیلومتر,40,7750000000,fixed,https://bama.ir/car/detail-sb0nlmwu-audi-q5etron-40-2024,2025-11-10
آئودی، Q5 e-tron,2023,"1,000 km",40,توافقی,negotiable,https://bama.ir/car/detail-94h68mtn-audi-q5etron-40-2023,2025-11-10
آئودی، Q5 e-tron,2024,صفر کیلومتر,40,توافقی,negotiable,https://bama.ir/car/detail-p8rbglfk-audi-q5etron-40-2024,2025-11-10
آئودی، Q5 e-tron,2024,صفر کیلومتر,40,توافقی,negotiable,https://bama.ir/car/detail-sjhhb4mt-audi-q5etron-40-2024,2025-11-10
آئودی، Q5 e-tron,2024,صفر کیلومتر,40,توافقی,negotiable,https://bama.ir/car/detail-yqdf9x1l-audi-q5etron-40-2024,2025-11-10
آئودی، Q5 e-tron,2024,"1,000 km",40,توافقی,negotiable,https://bama.ir/car/detail-wz89ou52-audi-q5etron-40-2024,2025-11-10
آریسان، 2,1403,"8,000 km",دنده ای,680000000,fixed,https://bama.ir/car/detail-5e94soie-arisun-2-1403,2025-11-10
آریسان، 2,1404,صفر کیلومتر,دنده ای,655000000,fixed,https://bama.ir/car/detail-3mwlfph9-arisun-2-1404,2025-11-10
آریسان، 2,1404,صفر کیلومتر,دنده ای,690000000,fixed,https://bama.ir/car/detail-bvmofwed-arisun-2-1404,2025-11-10
آریسان، 2,1403,"15,000 km",دنده ای,توافقی,negotiable,https://bama.ir/car/detail-srqvvxtn-arisun-2-1403,2025-11-10
آلفارومئو، جولیتا,2015,"68,000 km",اتوماتیک,2550000000,fixed,https://bama.ir/car/detail-aouf3plv-alfaromeo-giulietta-2015,2025-11-10
اشکودا، اوکتاویا پرو,2024,صفر کیلومتر,1.4 لیتر توربو پرمیوم,3350000000,fixed,https://bama.ir/car/detail-nd3bvujr-skoda-octavia-1.4literturbo-2024,2025-11-10
اشکودا، کاروک,2024,صفر کیلومتر,1.4 لیتر توربو,3275000000,fixed,https://bama.ir/car/detail-dedhtr2s-skoda-karoq-1.4literturbo-2024,2025-11-10
اطلس، G,1404,صفر کیلومتر,دنده ای,670000000,fixed,https://bama.ir/car/detail-ohyqnrc9-atlas-g-mt-1404,2025-11-10
اطلس، G,1404,صفر کیلومتر,دنده ای,775000000,fixed,https://bama.ir/car/detail-mvsn2fru-atlas-g-mt-1404,2025-11-10
اطلس، GL,1404,صفر کیلومتر,دنده ای,722000000,fixed,https://bama.ir/car/detail-0jtkyzsi-atlas-gl-mt-1404,2025-11-10
ام جی، 5,2024,صفر کیلومتر,1.5 لیتر,2070000000,fixed,https://bama.ir/car/detail-rtkf86a7-mg-5-1.5liter-2024,2025-11-10
ام جی، 5,2024,صفر کیلومتر,1.5 لیتر,2600000000,fixed,https://bama.ir/car/detail-pctkys8r-mg-5-1.5liter-2024,2025-11-10
ام جی، 5,2024,"4,800 km",1.5 لیتر,توافقی,negotiable,https://bama.ir/car/detail-hydaig9f-mg-5-1.5liter-2024,2025-11-10
ام جی، 550,2011,"320,000 km",اتوماتیک,698000000,fixed,https://bama.ir/car/detail-k6qpj0wi-mg-550-2011,2025-11-10
